"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"1. Wallet connect","","","0","0","5","0","0"
"8. Proposal Discussion Forum","","","0","1","16","0","0"
"4. Proposal visibility","","","1","0","10","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","1","4","23","0","0"
"","","","0","0","0","50","0"
"7. Proposal submission","","","2","0","12","6","0"
"6. Miscellaneous","","","2","0","15","0","0"
"3. DRep registration","","","3","2","4","0","0"
"Setup","","Authentication","0","0","16","0","0"
"2. Delegation","","","0","1","6","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
"Setup","","Cleanup","1","0","0","0","0"
"Setup","","Faucet","1","0","0","0","0"
