"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28524","7M_1. Should edit a info proposal draft","loggedin (desktop)","Wed Nov 27 11:23:41 GMT 2024","passed","Wed Nov 27 11:24:10 GMT 2024","Info Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","121825","7H_1. Should submit a info proposal as governance action","proposal submission","Wed Nov 27 11:07:32 GMT 2024","passed","Wed Nov 27 11:09:33 GMT 2024","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","7099","6N. Should open feedback modal","independent (desktop)","Wed Nov 27 11:12:38 GMT 2024","passed","Wed Nov 27 11:12:45 GMT 2024","User Snap","6-miscellaneous/miscellaneous.spec.ts","",""
"","52415","8U. Should navigate to the edit proposal page when 'goto data edit screen' is selected if data does not match the anchor URL","loggedin (desktop)","Wed Nov 27 11:25:13 GMT 2024","failed","Wed Nov 27 11:26:05 GMT 2024","Proposal created with poll enabled (proposal auth)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","",""
"","4881","Create AdaHolder 01 auth","auth setup","Wed Nov 27 11:06:51 GMT 2024","passed","Wed Nov 27 11:06:56 GMT 2024","","auth.setup.ts","",""
"","9562","4L. Should search governance actions","loggedin (desktop)","Wed Nov 27 11:20:07 GMT 2024","passed","Wed Nov 27 11:20:17 GMT 2024","","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","",""
"","9773","4H. Should verify none of the displayed governance actions have expired","loggedin (desktop)","Wed Nov 27 11:20:27 GMT 2024","passed","Wed Nov 27 11:20:37 GMT 2024","","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","",""
"","420405","2U. Should show delegated voting power to Abstain","delegation","Wed Nov 27 11:42:12 GMT 2024","broken","Wed Nov 27 11:49:12 GMT 2024","Abstain delegation","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","21855","7D_2. Verify treasury proposal form","loggedin (desktop)","Wed Nov 27 11:22:52 GMT 2024","passed","Wed Nov 27 11:23:14 GMT 2024","Proposal created logged state > Verify Proposal form","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","141202","Abstain delegation","cleanup delegation","Wed Nov 27 11:49:14 GMT 2024","passed","Wed Nov 27 11:51:35 GMT 2024","","delegation.teardown.ts","",""
"","540367","2K_2. Should sort DReps","independent (desktop)","Wed Nov 27 11:07:56 GMT 2024","broken","Wed Nov 27 11:16:56 GMT 2024","","2-delegation/delegation.spec.ts","",""
"","39286","5H. Should open a new tab in Bad governance action proposal, when external URL is opened","dRep","Wed Nov 27 11:32:06 GMT 2024","passed","Wed Nov 27 11:32:45 GMT 2024","Bad Proposals","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","3686","1B. Should connect wallet with single stake key","loggedin (desktop)","Wed Nov 27 11:16:57 GMT 2024","passed","Wed Nov 27 11:17:01 GMT 2024","","1-wallet-connect/walletConnect.loggedin.spec.ts","",""
"","48206","4C_2. Should sort Governance Action Type on governance actions page","loggedin (desktop)","Wed Nov 27 11:19:39 GMT 2024","passed","Wed Nov 27 11:20:27 GMT 2024","","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","",""
"","12241","8B_2. Should sort the list of proposed governance actions.","mobile","Wed Nov 27 11:14:37 GMT 2024","passed","Wed Nov 27 11:14:49 GMT 2024","Filter and sort proposals","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","11470","5D_2. Should reject invalid data in provide context","dRep","Wed Nov 27 11:32:03 GMT 2024","passed","Wed Nov 27 11:32:15 GMT 2024","Proposal checks > Validate provide context about vote","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","43487","7J_1. Should accept valid metadata anchor on proposal submission","loggedin (desktop)","Wed Nov 27 11:22:55 GMT 2024","failed","Wed Nov 27 11:23:39 GMT 2024","Proposal created logged state > proposed as a governance action > Metadata anchor validation","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","49188","8P. Should add poll on own proposal","loggedin (desktop)","Wed Nov 27 11:25:05 GMT 2024","passed","Wed Nov 27 11:25:54 GMT 2024","Proposal created with poll enabled (proposal auth)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","",""
"","13317","8B_2. Should sort the list of proposed governance actions.","independent (desktop)","Wed Nov 27 11:12:57 GMT 2024","passed","Wed Nov 27 11:13:10 GMT 2024","Filter and sort proposals","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","6745","6R. Should submit an idea or new feature","mobile","Wed Nov 27 11:14:26 GMT 2024","passed","Wed Nov 27 11:14:33 GMT 2024","User Snap > Feedback Tests","6-miscellaneous/miscellaneous.spec.ts","",""
"","20089","4K. Should display correct vote counts on governance details page for disconnect state","mobile","Wed Nov 27 11:13:52 GMT 2024","failed","Wed Nov 27 11:14:12 GMT 2024","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","35164","3M_1. Should accept valid data in edit dRep form","dRep","Wed Nov 27 11:28:20 GMT 2024","passed","Wed Nov 27 11:28:56 GMT 2024","Validation of edit dRep Form","3-drep-registration/editDRep.dRep.spec.ts","",""
"","50537","3G. Should show confirmation message with link to view transaction, when DRep registration txn is submitted","dRep","Wed Nov 27 11:27:30 GMT 2024","passed","Wed Nov 27 11:28:20 GMT 2024","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","6016","6C. Navigation within the dApp","independent (desktop)","Wed Nov 27 11:12:15 GMT 2024","passed","Wed Nov 27 11:12:21 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","24234","2E. Should register as Direct voter","delegation","Wed Nov 27 11:41:45 GMT 2024","failed","Wed Nov 27 11:42:10 GMT 2024","Register DRep state","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","30977","3E_1. Should accept valid data in DRep form","loggedin (desktop)","Wed Nov 27 11:18:55 GMT 2024","passed","Wed Nov 27 11:19:26 GMT 2024","Validation of dRep Registration Form","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","0","2H. Should prompt to change delegation after delegation","delegation","Wed Nov 27 11:41:57 GMT 2024","skipped","Wed Nov 27 11:41:57 GMT 2024","Delegate to others","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","180878","4E. Should display DRep's voting power in governance actions page","dRep","Wed Nov 27 11:29:04 GMT 2024","broken","Wed Nov 27 11:32:05 GMT 2024","Logged in DRep","4-proposal-visibility/proposalVisibility.dRep.spec.ts","",""
"","99931","2D. Should show delegation options in connected state","loggedin (desktop)","Wed Nov 27 11:17:05 GMT 2024","passed","Wed Nov 27 11:18:45 GMT 2024","","2-delegation/delegation.loggedin.spec.ts","",""
"","3109","5J. Should hide retirement option for non-registered DRep","loggedin (desktop)","Wed Nov 27 11:20:31 GMT 2024","passed","Wed Nov 27 11:20:34 GMT 2024","","5-proposal-functionality/proposalFunctionality.loggedin.spec.ts","",""
"","194083","2S. Should retire as a Direct Voter on delegating to another DRep","delegation","Wed Nov 27 11:41:47 GMT 2024","failed","Wed Nov 27 11:45:02 GMT 2024","Register DRep state","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","4578","4J. Should include metadata anchor in the vote transaction","dRep","Wed Nov 27 11:31:14 GMT 2024","skipped","Wed Nov 27 11:31:18 GMT 2024","Temporary DReps","4-proposal-visibility/proposalVisibility.dRep.spec.ts","",""
