"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Setup","","Register stake","0","0","7","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","4","2","10","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"7. Proposal submission","","","2","0","9","0","0"
"4. Proposal visibility","","","0","6","4","0","0"
"2. Delegation","","","3","1","15","1","0"
"3. DRep registration","","","1","4","7","0","0"
"6. Miscellaneous","","","0","1","0","1","0"
"Setup","","Fund","0","0","2","0","0"
"5. Proposal functionality","","","0","9","2","0","0"
"Setup","","Authentication","0","0","6","0","0"
"","","","1","2","0","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","Cleanup","0","0","1","0","0"
