"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 07:43:36 GMT 2024","Tue Apr 16 07:43:36 GMT 2024","132","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep1]",""
"passed","Tue Apr 16 07:43:35 GMT 2024","Tue Apr 16 07:43:35 GMT 2024","133","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep0]",""
"failed","Tue Apr 16 07:43:35 GMT 2024","Tue Apr 16 07:43:36 GMT 2024","71","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep0]",""
"failed","Tue Apr 16 07:43:36 GMT 2024","Tue Apr 16 07:43:36 GMT 2024","128","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Tue Apr 16 07:43:34 GMT 2024","Tue Apr 16 07:43:34 GMT 2024","78","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Tue Apr 16 07:43:35 GMT 2024","Tue Apr 16 07:43:35 GMT 2024","789","test_cases","test_drep","","","","test_list_drep",""
"passed","Tue Apr 16 07:43:34 GMT 2024","Tue Apr 16 07:43:34 GMT 2024","303","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep0]",""
"passed","Tue Apr 16 07:43:34 GMT 2024","Tue Apr 16 07:43:35 GMT 2024","72","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"failed","Tue Apr 16 07:43:36 GMT 2024","Tue Apr 16 07:43:36 GMT 2024","73","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep1]",""
"passed","Tue Apr 16 07:43:34 GMT 2024","Tue Apr 16 07:43:34 GMT 2024","70","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep1]",""
