"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 19 06:47:23 GMT 2024","Sun May 19 06:47:24 GMT 2024","893","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Sun May 19 06:47:22 GMT 2024","Sun May 19 06:47:23 GMT 2024","135","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep0]",""
"passed","Sun May 19 06:47:22 GMT 2024","Sun May 19 06:47:22 GMT 2024","143","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Sun May 19 06:47:22 GMT 2024","Sun May 19 06:47:22 GMT 2024","137","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"passed","Sun May 19 06:47:22 GMT 2024","Sun May 19 06:47:22 GMT 2024","136","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep1]",""
"passed","Sun May 19 06:47:23 GMT 2024","Sun May 19 06:47:23 GMT 2024","134","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep1]",""
"passed","Sun May 19 06:47:23 GMT 2024","Sun May 19 06:47:23 GMT 2024","143","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep1]",""
"passed","Sun May 19 06:47:22 GMT 2024","Sun May 19 06:47:22 GMT 2024","243","test_cases","test_drep","","","","test_list_drep",""
"passed","Sun May 19 06:47:22 GMT 2024","Sun May 19 06:47:22 GMT 2024","190","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep0]",""
"passed","Sun May 19 06:47:21 GMT 2024","Sun May 19 06:47:22 GMT 2024","500","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep0]",""
