"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 12:03:46 GMT 2024","Fri Apr 19 12:03:46 GMT 2024","148","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep0]",""
"failed","Fri Apr 19 12:03:46 GMT 2024","Fri Apr 19 12:03:47 GMT 2024","103","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep0]",""
"passed","Fri Apr 19 12:03:45 GMT 2024","Fri Apr 19 12:03:45 GMT 2024","437","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep0]",""
"passed","Fri Apr 19 12:03:45 GMT 2024","Fri Apr 19 12:03:45 GMT 2024","112","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Fri Apr 19 12:03:47 GMT 2024","Fri Apr 19 12:03:47 GMT 2024","148","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep1]",""
"passed","Fri Apr 19 12:03:45 GMT 2024","Fri Apr 19 12:03:45 GMT 2024","105","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"failed","Fri Apr 19 12:03:47 GMT 2024","Fri Apr 19 12:03:47 GMT 2024","103","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep1]",""
"passed","Fri Apr 19 12:03:45 GMT 2024","Fri Apr 19 12:03:45 GMT 2024","104","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep1]",""
"passed","Fri Apr 19 12:03:45 GMT 2024","Fri Apr 19 12:03:46 GMT 2024","779","test_cases","test_drep","","","","test_list_drep",""
"failed","Fri Apr 19 12:03:47 GMT 2024","Fri Apr 19 12:03:47 GMT 2024","139","test_cases","test_proposal","","","","test_list_proposal",""
