"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 06:41:19 GMT 2024","Thu May 16 06:41:19 GMT 2024","71","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep1]",""
"failed","Thu May 16 06:41:20 GMT 2024","Thu May 16 06:41:20 GMT 2024","98","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Thu May 16 06:41:19 GMT 2024","Thu May 16 06:41:19 GMT 2024","535","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep0]",""
"passed","Thu May 16 06:41:19 GMT 2024","Thu May 16 06:41:20 GMT 2024","148","test_cases","test_drep","","","","test_list_drep",""
"passed","Thu May 16 06:41:19 GMT 2024","Thu May 16 06:41:19 GMT 2024","73","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"passed","Thu May 16 06:41:20 GMT 2024","Thu May 16 06:41:20 GMT 2024","70","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep0]",""
"passed","Thu May 16 06:41:20 GMT 2024","Thu May 16 06:41:20 GMT 2024","79","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep1]",""
"passed","Thu May 16 06:41:19 GMT 2024","Thu May 16 06:41:19 GMT 2024","79","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Thu May 16 06:41:20 GMT 2024","Thu May 16 06:41:20 GMT 2024","70","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep1]",""
"passed","Thu May 16 06:41:20 GMT 2024","Thu May 16 06:41:20 GMT 2024","111","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep0]",""
