"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3298","1A. Should connect wallet and choose stake-key to use","independent (desktop)","Wed Dec 04 09:09:17 GMT 2024","passed","Wed Dec 04 09:09:20 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","10319","Create Proposal 04 auth","auth setup","Wed Dec 04 09:08:22 GMT 2024","passed","Wed Dec 04 09:08:33 GMT 2024","","auth.setup.ts","",""
"","4988","Create AdaHolder 06 auth","auth setup","Wed Dec 04 09:08:06 GMT 2024","passed","Wed Dec 04 09:08:11 GMT 2024","","auth.setup.ts","",""
"","31058","7H_1. Should submit a info proposal as governance action","proposal submission","Wed Dec 04 09:08:45 GMT 2024","failed","Wed Dec 04 09:09:16 GMT 2024","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","4444","Create AdaHolder 03 auth","auth setup","Wed Dec 04 09:08:01 GMT 2024","passed","Wed Dec 04 09:08:05 GMT 2024","","auth.setup.ts","",""
"","11276","Create Proposal 05 auth","auth setup","Wed Dec 04 09:08:31 GMT 2024","passed","Wed Dec 04 09:08:42 GMT 2024","","auth.setup.ts","",""
"","10419","Create Proposal 06 auth","auth setup","Wed Dec 04 09:08:33 GMT 2024","passed","Wed Dec 04 09:08:43 GMT 2024","","auth.setup.ts","",""
"","2368","1E. Should hide incompatible wallets when connecting","independent (desktop)","Wed Dec 04 09:09:27 GMT 2024","passed","Wed Dec 04 09:09:29 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","4396","Create AdaHolder 04 auth","auth setup","Wed Dec 04 09:08:02 GMT 2024","passed","Wed Dec 04 09:08:06 GMT 2024","","auth.setup.ts","",""
"","10939","Create Proposal 01 auth","auth setup","Wed Dec 04 09:08:10 GMT 2024","passed","Wed Dec 04 09:08:21 GMT 2024","","auth.setup.ts","",""
"","12254","2K_2. Should sort DReps","independent (desktop)","Wed Dec 04 09:09:31 GMT 2024","passed","Wed Dec 04 09:09:43 GMT 2024","","2-delegation/delegation.spec.ts","",""
"","4447","Create User 01 auth","auth setup","Wed Dec 04 09:07:53 GMT 2024","passed","Wed Dec 04 09:07:58 GMT 2024","","auth.setup.ts","",""
"","7664","Create DRep 01 auth","auth setup","Wed Dec 04 09:07:46 GMT 2024","passed","Wed Dec 04 09:07:53 GMT 2024","","auth.setup.ts","",""
"","4234","Create AdaHolder 01 auth","auth setup","Wed Dec 04 09:07:57 GMT 2024","passed","Wed Dec 04 09:08:01 GMT 2024","","auth.setup.ts","",""
"","10172","Create Proposal 03 auth","auth setup","Wed Dec 04 09:08:21 GMT 2024","passed","Wed Dec 04 09:08:31 GMT 2024","","auth.setup.ts","",""
"","12547","2O. Should load more DReps on show more","independent (desktop)","Wed Dec 04 09:09:48 GMT 2024","failed","Wed Dec 04 09:10:00 GMT 2024","","2-delegation/delegation.spec.ts","",""
"","3025","1D. Should reject wallet connection in mainnet","independent (desktop)","Wed Dec 04 09:09:24 GMT 2024","passed","Wed Dec 04 09:09:27 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","10229","Create Proposal 07 auth","auth setup","Wed Dec 04 09:08:42 GMT 2024","passed","Wed Dec 04 09:08:53 GMT 2024","","auth.setup.ts","",""
"","4727","Faucet setup","faucet setup","Wed Dec 04 09:07:46 GMT 2024","failed","Wed Dec 04 09:07:50 GMT 2024","","faucet.setup.ts","",""
"","4538","Create DRep 02 auth","auth setup","Wed Dec 04 09:07:52 GMT 2024","passed","Wed Dec 04 09:07:57 GMT 2024","","auth.setup.ts","",""
"","4779","2K_3. Should sort DReps randomly","independent (desktop)","Wed Dec 04 09:09:43 GMT 2024","passed","Wed Dec 04 09:09:48 GMT 2024","","2-delegation/delegation.spec.ts","",""
"","4606","Create AdaHolder 05 auth","auth setup","Wed Dec 04 09:08:05 GMT 2024","passed","Wed Dec 04 09:08:10 GMT 2024","","auth.setup.ts","",""
"","11212","Create Proposal 02 auth","auth setup","Wed Dec 04 09:08:11 GMT 2024","passed","Wed Dec 04 09:08:22 GMT 2024","","auth.setup.ts","",""
"","4008","Create AdaHolder 02 auth","auth setup","Wed Dec 04 09:07:58 GMT 2024","passed","Wed Dec 04 09:08:02 GMT 2024","","auth.setup.ts","",""
"","3903","1C. Should disconnect Wallet When connected","independent (desktop)","Wed Dec 04 09:09:20 GMT 2024","passed","Wed Dec 04 09:09:24 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
