"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"7. Proposal submission","","","1","0","10","0","0"
"4. Proposal visibility","","","0","6","4","0","0"
"2. Delegation","","","6","2","11","1","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","12","6","20","1","0"
"1. Wallet connect","","","1","0","4","0","0"
"6. Miscellaneous","","","2","0","0","1","0"
"Setup","","Register stake","0","0","6","0","0"
"3. DRep registration","","","2","4","5","1","0"
"Setup","","Fund","0","0","2","0","0"
"Setup","","Authentication","0","0","6","0","0"
"","","","1","2","2","3","0"
"5. Proposal functionality","","","0","9","2","0","0"
"Setup","","Cleanup","0","0","1","0","0"
