"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5351","Create User 01 auth","auth setup","Tue Nov 26 11:15:28 GMT 2024","passed","Tue Nov 26 11:15:33 GMT 2024","","auth.setup.ts","",""
"","4140","6S. Should Warn users that they are in bootstrapping phase via banner","independent (desktop)","Tue Nov 26 11:20:12 GMT 2024","passed","Tue Nov 26 11:20:16 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","3486","2X_2. Should include info button and voting power on the Signal-No-Confidence card","loggedin (desktop)","Tue Nov 26 11:26:36 GMT 2024","passed","Tue Nov 26 11:26:40 GMT 2024","","2-delegation/delegation.loggedin.spec.ts","",""
"","8373","8A. Should access proposed governance actions in disconnected state","mobile","Tue Nov 26 11:21:59 GMT 2024","passed","Tue Nov 26 11:22:07 GMT 2024","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","0","3G. Should show confirmation message with link to view transaction, when DRep registration txn is submitted","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","1","3N_1. Should accept valid metadata anchor on edit dRep","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Validation of edit dRep Form","3-drep-registration/editDRep.dRep.spec.ts","",""
"","4865","4B_2. Should restrict voting for users who are not registered as DReps (without wallet connected)","independent (desktop)","Tue Nov 26 11:19:36 GMT 2024","passed","Tue Nov 26 11:19:40 GMT 2024","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","0","5F. Should show notification of casted vote after vote","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Perform voting","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","30533","7J_2. Should reject invalid metadata anchor on proposal submission","loggedin (desktop)","Tue Nov 26 11:31:08 GMT 2024","passed","Tue Nov 26 11:31:39 GMT 2024","Proposal created logged state > proposed as a governance action > Metadata anchor validation","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","0","4J. Should include metadata anchor in the vote transaction","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Temporary DReps","4-proposal-visibility/proposalVisibility.dRep.spec.ts","",""
"","0","3J. Should verify retire as DRep","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","0","3P. Should reject invalid edit dRep metadata","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","","3-drep-registration/editDRep.dRep.spec.ts","",""
"","4882","Create AdaHolder 05 auth","auth setup","Tue Nov 26 11:15:38 GMT 2024","passed","Tue Nov 26 11:15:43 GMT 2024","","auth.setup.ts","",""
"","2608","6T. Should display proper network name","independent (desktop)","Tue Nov 26 11:20:14 GMT 2024","passed","Tue Nov 26 11:20:17 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","7492","8H. Should disable proposal interaction on a disconnected state.","mobile","Tue Nov 26 11:22:20 GMT 2024","passed","Tue Nov 26 11:22:28 GMT 2024","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","5104","1D. Should reject wallet connection in mainnet","independent (desktop)","Tue Nov 26 11:16:16 GMT 2024","passed","Tue Nov 26 11:16:21 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","10292","Create Proposal 07 auth","auth setup","Tue Nov 26 11:16:05 GMT 2024","passed","Tue Nov 26 11:16:15 GMT 2024","","auth.setup.ts","",""
"","19589","7G_2. Should create a proposal with proper treasury data","loggedin (desktop)","Tue Nov 26 11:30:33 GMT 2024","passed","Tue Nov 26 11:30:53 GMT 2024","Proposal created logged state > Create a proposal with proper data","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","65716","7E_2. Should accept valid data in treasury proposal form","loggedin (desktop)","Tue Nov 26 11:29:09 GMT 2024","passed","Tue Nov 26 11:30:15 GMT 2024","Proposal created logged state > Accept valid data","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","38535","8R. Should disable voting after cancelling the poll with the current poll result.","loggedin (desktop)","Tue Nov 26 11:33:30 GMT 2024","passed","Tue Nov 26 11:34:08 GMT 2024","Proposal created with poll enabled (proposal auth)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","",""
"","6393","6Q. Should report an issue","mobile","Tue Nov 26 11:21:49 GMT 2024","passed","Tue Nov 26 11:21:56 GMT 2024","User Snap > Feedback Tests","6-miscellaneous/miscellaneous.spec.ts","",""
"","0","3N_2. Should reject invalid dRep metadata anchor on edit dRep","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Validation of edit dRep Form","3-drep-registration/editDRep.dRep.spec.ts","",""
"","4865","4K. Should display correct vote counts on governance details page for disconnect state","independent (desktop)","Tue Nov 26 11:19:40 GMT 2024","passed","Tue Nov 26 11:19:45 GMT 2024","","4-proposal-visibility/proposalVisibility.spec.ts","",""
"","12217","6K. Should accept valid username.","loggedin (desktop)","Tue Nov 26 11:28:52 GMT 2024","passed","Tue Nov 26 11:29:04 GMT 2024","Temporary user","6-miscellaneous/miscellaneous.loggedin.spec.ts","",""
"","8410","6D. Should open Sanchonet docs in a new tab when clicking `Learn More` on dashboards in disconnected state.","independent (desktop)","Tue Nov 26 11:19:51 GMT 2024","failed","Tue Nov 26 11:19:59 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","7287","1C. Should disconnect Wallet When connected","independent (desktop)","Tue Nov 26 11:16:16 GMT 2024","passed","Tue Nov 26 11:16:24 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","0","2N. Should show DRep information on details page","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","","2-delegation/delegation.drep.spec.ts","",""
"","18880","7G_1. Should create a proposal with proper info data","loggedin (desktop)","Tue Nov 26 11:30:15 GMT 2024","passed","Tue Nov 26 11:30:34 GMT 2024","Proposal created logged state > Create a proposal with proper data","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","32069","7M_2. Should edit a treasury proposal draft","loggedin (desktop)","Tue Nov 26 11:32:07 GMT 2024","passed","Tue Nov 26 11:32:39 GMT 2024","Treasury Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","0","3M_2. Should reject invalid data in edit dRep form","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Validation of edit dRep Form","3-drep-registration/editDRep.dRep.spec.ts","",""
"","4924","Create AdaHolder 06 auth","auth setup","Tue Nov 26 11:15:38 GMT 2024","passed","Tue Nov 26 11:15:43 GMT 2024","","auth.setup.ts","",""
"","5308","6C. Navigation within the dApp","independent (desktop)","Tue Nov 26 11:19:45 GMT 2024","passed","Tue Nov 26 11:19:51 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","0","2C. Should open wallet connection popup on delegate in disconnected state","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","","2-delegation/delegation.drep.spec.ts","",""
"","0","5L. Should restrict dRep votes to Info Governance actions During Bootstrapping Phase","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Bootstrap phase","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","0","2E. Should register as Direct voter","delegation","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Register DRep state","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","4557","6G. Should restrict edit dRep for non dRep","loggedin (desktop)","Tue Nov 26 11:28:39 GMT 2024","passed","Tue Nov 26 11:28:43 GMT 2024","Logged in user","6-miscellaneous/miscellaneous.loggedin.spec.ts","",""
"","0","5I. Should view the vote details,when viewing governance action already voted by the DRep","dRep","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Perform voting","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","1","2H. Should prompt to change delegation after delegation","delegation","Tue Nov 26 11:37:51 GMT 2024","skipped","Tue Nov 26 11:37:51 GMT 2024","Delegate to others","2-delegation/delegationFunctionality.delegation.spec.ts","",""
"","13992","2K_1. Should filter DReps","mobile","Tue Nov 26 11:21:22 GMT 2024","failed","Tue Nov 26 11:21:36 GMT 2024","","2-delegation/delegation.spec.ts","",""
