"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"5. Proposal functionality","","","3","0","7","1","0"
"","","","0","0","0","8","0"
"4. Proposal visibility","","","2","1","8","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","5","1","29","2","0"
"3. DRep registration","","","5","1","4","2","0"
"2. Delegation","","","1","0","8","0","0"
"Setup","","Authentication","0","0","4","0","0"
"Setup","","Fund","1","0","1","0","0"
"7. Proposal submission","","","2","0","7","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"6. Miscellaneous","","","1","0","1","1","0"
"Setup","","DRep","0","0","1","0","0"
