"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11113","8D.Should show the view-all categorized proposed governance actions.","mobile","Wed Dec 04 05:22:38 GMT 2024","passed","Wed Dec 04 05:22:49 GMT 2024","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","8963","6C. Navigation within the dApp","mobile","Wed Dec 04 05:21:30 GMT 2024","failed","Wed Dec 04 05:21:39 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","10702","Create Proposal 01 auth","auth setup","Wed Dec 04 05:13:39 GMT 2024","passed","Wed Dec 04 05:13:50 GMT 2024","","auth.setup.ts","",""
"","13309","7C. Should list unfinished Draft","loggedin (desktop)","Wed Dec 04 05:44:00 GMT 2024","passed","Wed Dec 04 05:44:13 GMT 2024","Info Proposal Draft","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","3954","7B. Should access proposal creation page","loggedin (desktop)","Wed Dec 04 05:27:34 GMT 2024","passed","Wed Dec 04 05:27:38 GMT 2024","Proposal created logged state","7-proposal-submission/proposalSubmission.loggedin.spec.ts","",""
"","180221","8U. Should navigate to the edit proposal page when 'goto data edit screen' is selected if data does not match the anchor URL","loggedin (desktop)","Wed Dec 04 05:57:06 GMT 2024","broken","Wed Dec 04 06:00:06 GMT 2024","Proposal created with poll enabled (proposal auth)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","",""
"","3216","6T. Should display proper network name","independent (desktop)","Wed Dec 04 05:18:26 GMT 2024","passed","Wed Dec 04 05:18:29 GMT 2024","","6-miscellaneous/miscellaneous.spec.ts","",""
"","4856","3L_2. Should reject invalid dRep metadata anchor on create dRep","loggedin (desktop)","Wed Dec 04 05:25:26 GMT 2024","passed","Wed Dec 04 05:25:31 GMT 2024","Validation of dRep Registration Form","3-drep-registration/dRepRegistration.loggedin.spec.ts","",""
"","10172","Create Proposal 05 auth","auth setup","Wed Dec 04 05:14:00 GMT 2024","passed","Wed Dec 04 05:14:10 GMT 2024","","auth.setup.ts","",""
"","6010","Create DRep 01 auth","auth setup","Wed Dec 04 05:13:11 GMT 2024","passed","Wed Dec 04 05:13:17 GMT 2024","","auth.setup.ts","",""
"","14481","4F. Should Disable DRep functionality upon wallet disconnection on governance actions page","dRep","Wed Dec 04 06:08:06 GMT 2024","passed","Wed Dec 04 06:08:20 GMT 2024","","4-proposal-visibility/proposalVisibility.dRep.spec.ts","",""
"","3770","Create User 01 auth","auth setup","Wed Dec 04 05:13:21 GMT 2024","passed","Wed Dec 04 05:13:24 GMT 2024","","auth.setup.ts","",""
