"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"6. Miscellaneous","","6A. Should be accessible from mobile","11","5","22","1","0"
"Setup","","Register stake","0","0","6","0","0"
"3. DRep registration","","","2","2","7","1","0"
"5. Proposal functionality","","","0","9","2","0","0"
"","","","1","2","2","2","0"
"Setup","","Authentication","0","0","6","0","0"
"Setup","","Fund","0","0","2","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"2. Delegation","","","5","2","13","1","0"
"7. Proposal submission","","","2","0","9","0","0"
"4. Proposal visibility","","","1","6","3","0","0"
"6. Miscellaneous","","","1","1","0","1","0"
"Setup","","Cleanup","0","0","1","0","0"
